1	7.36206	
1.1	7.51235	
1.2	7.64951	
1.3	7.779	
1.4	7.85112	
1.5	7.93144	
1.6	7.97072	
1.7	8.07044	
1.8	8.11669	
1.9	8.19257	
2	8.21193	
2.1	8.20684	
2.2	8.28673	
2.3	8.33114	
2.4	8.36157	
2.5	8.42734	
2.6	8.44171	
2.7	8.47253	
2.8	8.50673	
2.9	8.51835	
3	8.55758	
3.1	8.62451	
3.2	8.60502	
3.3	8.66668	
3.4	8.6692	
3.5	8.72203	
4	8.8081	
4.5	8.91826	
5	8.99826	
5.5	9.07966	
6	9.14651	
6.5	9.23326	
7	9.27788	
7.5	9.30112	
8	9.37465	
8.5	9.41614	
9	9.43492	
9.5	9.46164	
10	9.507	
10.5	9.56297	
11	9.62176	
12	9.68441	
13	9.75257	
14	9.78052	
15	9.84429	
16	9.90051	
17	9.93256	
18	9.94257	
19	9.98374	
20	10.0219	
21	10.0809	
22	10.0819	
23	10.135	
24	10.1344	
25	10.2242	
26	10.2719	
27	10.2697	
28	10.3164	
29	10.3788	
30	10.3962	
31	10.4221	
32	10.4663	
33	10.4927	
34	10.5174	
35	10.5463	
36	10.5886	
37	10.614	
38	10.6599	
39	10.7343	
40	10.7083	
41	10.7939	
42	10.8175	
43	10.8509	
44	10.8736	
45	10.9249	
46	10.9551	
47	10.9952	
48	11.0056	
49	11.0391	
50	11.0609	
51	11.0942	
52	11.1176	
53	11.1392	
54	11.1814	
55	11.1993	
56	11.2394	
57	11.246	
58	11.2401	
59	11.2559	
60	11.2901	
61	11.3123	
62	11.3083	
63	11.3348	
64	11.3454	
65	11.3591	
66	11.3478	
67	11.3586	
68	11.3694	
69	11.377	
70	11.3888	
71	11.3832	
72	11.3754	
73	11.4022	
74	11.404	
75	11.3961	
76	11.4088	
77	11.3927	
78	11.3992	
79	11.396	
80	11.3805	
81	11.4026	
86	11.4004	
91	11.4152	
96	11.4115	
101	11.3919	
106	11.3745	
111	11.3573	
